PARTIDO;PROVINCIA;"¿Tiene ordenanza específica sobre agroquímicos?
(Sí/No)";Número de Ordenanza;Año de Sancion;"Vigencia
(Vigente / Derogada / Suspendida / No reglamentada / Parcialmente suspendida)";"Marco regulatorio aplicable
(Ordenanza municipal / Ley provincial 10.699 / Mixto / Solo cautelar judicial / Sin regulación específica)";"Tipo de contenido principal
(Regula distancias / Crea registro Regula envases / residuos / Regula transporte / Prohibición puntual / Adhesión provincial / Integral)";Exclusión terrestre urbana (m);¿Prohibición total terrestre en área urbana? (Sí/No);Amortiguamiento terrestre urbana (m);Exclusión aérea urbana (m);Amortiguamiento aérea urbana (m);Exclusión escuelas rurales terrestre (m);Exclusión escuelas rurales aérea (m);Exclusión cursos de agua terrestre (m);Exclusión cursos de agua aérea (m);Exige receta agronómica;Crea registro municipal de aplicadores;Exige aviso previo a municipio;Exige notificación a escuelas;Exige presencia de ingeniero agrónomo;Limita por banda toxicológica;Prohíbe aplicación aérea totalmente;Establece restricciones horarias escolares;Establece protección específica de agua más allá de distancia;Existencia de medida judicial vinculada (Sí/No);Artículos suspendidos judicialmente (Sí/No);Proceso de reforma o debate en curso (Sí/No);"Observaciones 
(Cautelar vigente / Ordenanza no reglamentada  / En revisión / Conflicto vecinal activo / Adhesión sin implementación)"
25 de Mayo;Buenos Aires;Sí;3340/2018;2018;Vigente;Ordenanza municipal + Ley provincial;Integral;NA;Sí;100;150;NA;60;150;NA;NA;No;Sí;Sí;Sí;No;No;No;Sí;Sí;No;No;No;Franja hídrica a reglamentar
9 de Julio;Buenos Aires;Sí;7219/2024;2024;Vigente;Ordenanza municipal + cautelar judicial;Integral;200;No;200;2000;NA;200;2000;NA;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;No;Sí;No;No;Cautelar French 1095 m
Adolfo Alsina;Buenos Aires;Sí;3840/2014;2014;Vigente;Ordenanza municipal;Integral técnico;NA;No;100;NA;200;100;NA;NA;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;No;Distancias diferenciadas para agua y caminos
Adolfo Gonzales Chaves;Buenos Aires;Sí;1156/1986;1986;Vigente;Ordenanza municipal;Registro administrativo;NA;No;NA;NA;NA;NA;NA;NA;NA;No;Sí;No;No;No;No;No;No;No;No;No;No;Regulación administrativa sin distancias
Alberti;Buenos Aires;Sí;1690/2008;2008;Vigente;Ordenanza municipal;Distancia única;1000;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Zona ecológica protegida 1000 m
Almirante Brown;Buenos Aires;Sí;9140/2009;2009;Vigente;Ordenanza municipal;Prohibición puntual;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Prohibición de aplicación para eliminación de pastizales
Arrecifes;Buenos Aires;Sí;2786/2016;2016;Vigente;Ordenanza municipal + Ley provincial;Integral;300;No;1200;2000;NA;300;2000;NA;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;No;Prohíbe banda roja y ciertos principios activos
Avellaneda;Buenos Aires;No;NA;NA;NA;Ley provincial 10.699;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Se rige exclusivamente por normativa provincial
Ayacucho;Buenos Aires;Sí;5528/2020;2020;Vigente;Ordenanza municipal;Integral;NA;No;400;NA;NA;100;500;25;400;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;No;Permite ajustes técnicos excepcionales
Azul;Buenos Aires;Sí;4564;2021;Vigente;Ordenanza municipal;Integral técnico;NA;No;200;NA;NA;NA;NA;20;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;No;Sí;No;No;No;Exclusión total urbana y áreas sensibles
Bahía Blanca;Buenos Aires;Sí;5441;NA;Vigente;Adhesión a Ley provincial 10.699;Adhesión sin distancias propias;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Remite íntegramente a normativa provincial
Balcarce;Buenos Aires;No;NA;NA;NA;Ley provincial 10.699;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Proyecto 2024 sin sanción vigente
Baradero;Buenos Aires;Sí;6483/2018;2018;Vigente;Ordenanza municipal;Integral;200;No;NA;2000;NA;200;2000;NA;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;No;No;No;No;Exige receta agronómica y tecnología antideriva
Benito Juárez;Buenos Aires;Sí;5542/2020;2020;Vigente;Ordenanza municipal;Integral con zona verde;NA;No;NA;2000;NA;500;2000;50;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;No;Zona Verde de exclusión amplia
Berazategui;Buenos Aires;No;NA;NA;NA;Ley provincial 10.699;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Sin ordenanza municipal específica identificada
Berisso;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;Sin regulación específica;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;No se identificó ordenanza sustantiva sobre distancias o regulación técnica
Bolívar;Buenos Aires;Sí;2459/2017 y 2999/2024;2017 y 2024;Parcialmente suspendida;Mixto;Integral;1000;No;1000;2000;NA;1000;2000;NA;NA;Sí;No;Sí;No;No;No;No;No;Sí;No;No;Sí;Suspensión transitoria art. 6, excepto área urbana de San Carlos de Bolívar, aérea sujeta a ley provincial, observatorio técnico en curso
Bragado;Buenos Aires;Sí;3706/09 y 4846/16;2009;Vigente;Ordenanza municipal;Integral;2000;Sí;NA;2000;NA;50;NA;NA;NA;Sí;No;No;No;Sí;No;No;No;No;No;No;No;Cinturón de Protección Ecológica 2000 m, modificatoria sobre sanciones
Brandsen;Buenos Aires;No;NA;NA;NA;Ley provincial 10.699;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Sin ordenanza municipal específica identificada
Campana;Buenos Aires;Sí;5792/11;2011;Vigente;Ordenanza municipal;Integral;1000;Sí;NA;NA;NA;1000;NA;50;NA;Sí;No;Sí;No;No;Sí;No;No;Sí;No;No;No;Aérea prohibida en territorio continental, en islas solo Clase IV, cursos menores cuatro veces el ancho
Cañuelas;Buenos Aires;Sí;2671/10;2010;Vigente;Ordenanza municipal;Integral;2000;Sí;NA;NA;NA;200;NA;NA;NA;No;No;No;Sí;No;No;Sí;Sí;No;No;No;No;Aérea prohibida en todo el partido, escuelas rurales fuera de horario escolar con aviso
Capitán Sarmiento;Buenos Aires;Sí;1672/2009;2009;Vigente;Ordenanza municipal;Regula distancias;50;Sí;450;2000;NA;NA;NA;NA;NA;No;No;Sí;No;No;Sí;No;No;No;No;No;No;Esquema escalonado 50 a 150 a 500, aérea 2000 ampliable 3000, declaración jurada 48 h
Carlos Casares;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Carlos Tejedor;Buenos Aires;Sí;2350/14;2014;Vigente;Ordenanza municipal;Regula distancias;300;No;700;2000;NA;NA;NA;NA;NA;No;Sí;No;No;No;No;No;No;No;No;No;No;NA
Carmen de Areco;Buenos Aires;Sí;2960/18;2018;Vigente;Ordenanza municipal;Integral;NA;No;100;NA;200;50;100;30;NA;No;Sí;No;No;No;No;No;No;Sí;No;No;No;NA
Carmen de Patagones;Buenos Aires;Sí;1185/12;2012;Vigente;Mixto;Adhesión provincial;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión sin implementación
Castelli;Buenos Aires;Sí;041/20;2020;Vigente;Ordenanza municipal;Prohibición puntual;1000;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;Sí;No;No;No;Protección específica Parque Laguna La Rosita
Chacabuco;Buenos Aires;Sí;7077/17;2017;Vigente;Ordenanza municipal;Regula distancias;NA;Sí;300;NA;NA;300;NA;30;NA;No;No;Sí;No;Sí;Sí;No;Sí;Sí;No;No;No;NA
Chascomús;Buenos Aires;Sí;5329/2018;2018;Vigente;Ordenanza municipal;Integral;750;No;1000;NA;NA;1000;NA;50;NA;No;Sí;Sí;No;Sí;Sí;No;Sí;Sí;No;No;No;NA
Chivilcoy;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Colón;Buenos Aires;Sí;4007/2020;2020;Vigente;Ordenanza municipal;Integral;NA;Sí;500;2000;NA;100;1000;50;300;No;Sí;No;No;No;Sí;No;No;No;No;No;No;NA
Coronel Dorrego;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Coronel Pringles;Buenos Aires;Sí;4081/13-4240/16;2013;Vigente;Ordenanza municipal;Regula distancias;NA;Sí;2000;NA;NA;NA;NA;50;NA;No;No;No;No;Sí;Sí;No;No;Sí;No;No;No;NA
Coronel Rosales;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Coronel Suárez;Buenos Aires;Sí;7404/20-7434/20;2020;Vigente;Ordenanza municipal;Integral;NA;Sí;1000;2000;1000;NA;NA;25;200;No;Sí;Sí;No;No;Sí;No;No;No;No;No;No;NA
Daireaux;Buenos Aires;Sí;2383/2020;2020;Vigente;Ordenanza municipal;Integral;NA;No;NA;2000;NA;NA;NA;NA;NA;No;No;Sí;No;Sí;Sí;No;Sí;No;No;No;No;NA
Dolores;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Ensenada;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Escobar;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Esteban Echeverría;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;Sin regulación específica;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Decreto 499/91
Exaltación de la Cruz;Buenos Aires;Sí;101/12-496/19-2557/19;2012;Vigente;Ordenanza municipal;Integral;150;No;1000;NA;NA;300;NA;150;NA;No;Sí;Sí;No;No;Sí;Sí;No;Sí;No;No;No;NA
Ezeiza;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Florencio Varela;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Florentino Ameghino;Buenos Aires;Sí;736/10;2010;Vigente;Ordenanza municipal;Regula distancias;NA;Sí;100;1500;NA;100;NA;NA;NA;Sí;No;No;No;Sí;No;No;Sí;No;No;No;No;NA
General Alvarado;Buenos Aires;Sí;217/09;2009;Vigente;Ordenanza municipal;Regula distancias;200;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;Sí;No;No;No;No;NA
General Alvear;Buenos Aires;Sí;1669/2011;2011;Vigente;Ordenanza municipal;Regula distancias;100;No;NA;5000;NA;100;NA;20;NA;No;No;Sí;No;No;No;No;No;No;No;No;No;NA
General Arenales;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Belgrano;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Guido;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General La Madrid;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Las Heras;Buenos Aires;Sí;69/10;2010;No reglamentada;Ordenanza municipal;Regula distancias;2000;No;NA;NA;NA;200;NA;35;NA;No;No;Sí;No;No;No;Sí;Sí;No;No;No;No;Ordenanza no reglamentada
General Lavalle;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Madariaga;Buenos Aires;Sí;1732/07;2007;Vigente;Ordenanza municipal;Regula distancias;NA;Sí;500;2000;NA;250;NA;NA;NA;Sí;No;Sí;No;No;No;No;No;Sí;No;No;No;NA
General Paz;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Pinto;Buenos Aires;Sí;4115/14;2014;Vigente;Ordenanza municipal;Integral;500;No;NA;NA;NA;100;NA;100;NA;No;Sí;Sí;No;No;No;No;No;Sí;No;No;No;NA
General Pueyrredón;Buenos Aires;Sí;18740/2008;2008;Vigente;Ordenanza municipal;Prohibición puntual;1000;No;NA;1000;NA;NA;NA;NA;NA;No;No;No;No;No;No;Sí;No;No;Sí;Sí;No;Cautelar vigente
General Rodríguez;Buenos Aires;Sí;5163/22;2022;Vigente;Ordenanza municipal;Integral;100;No;2000;NA;NA;NA;NA;NA;NA;Sí;Sí;Sí;No;Sí;Sí;No;Sí;No;No;No;No;NA
General San Martín;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
General Viamonte;Buenos Aires;Sí;3150/15;2015;Vigente;Ordenanza municipal;Integral;300;No;2000;2000;NA;50;NA;20;200;No;No;Sí;Sí;Sí;Sí;No;Sí;No;No;No;No;NA
General Villegas;Buenos Aires;Sí;6124/2020;2020;Vigente;Ordenanza municipal;Integral;40;No;NA;NA;NA;NA;NA;40;NA;No;Sí;Sí;No;No;Sí;No;Sí;Sí;No;No;No;NA
Guaminí;Buenos Aires;Sí;13/16;2016;Vigente;Ordenanza municipal;Integral;300;No;700;2000;NA;100;NA;25;50;No;No;Sí;Sí;No;Sí;No;Sí;No;No;No;No;NA
Hipólito Yrigoyen;Buenos Aires;Sí;96/13;2013;Vigente;Ordenanza municipal;Integral;100;No;NA;2000;NA;NA;NA;NA;NA;No;Sí;Sí;No;Sí;Sí;No;Sí;No;No;No;No;NA
Hurlingham;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Ituzaingó;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
José C. Paz;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Junín;Buenos Aires;Sí;6425/13;2013;Vigente;Ordenanza municipal;Integral;500;No;NA;NA;NA;300;NA;25;525;No;Sí;Sí;No;No;Sí;No;Sí;No;No;No;No;NA
La Costa;Buenos Aires;No;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Dec. 499/91.
La Matanza;Buenos Aires;Sí;13.996/2022;2022;Vigente;Ordenanza municipal;Integral;1100;Sí;NA;0;NA;1100;1100;1100;1100;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;Sí;No;No;No;Prohibición total aérea y exclusión terrestre hasta 1100 m desde límite urbano, cursos de agua, pozos y escuelas. Escudo Verde Agroecológico.
Lanús;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;Sin regulación específica;NA;No;NA;NA;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Decreto 499/91.
La Plata;Buenos Aires;Sí;7541/90;1990;Vigente;Ordenanza municipal;Crea registro;300;No;NA;NA;NA;NA;NA;NA;NA;No;Sí;No;No;Sí;No;No;Sí;No;No;No;No;NA
Laprida;Buenos Aires;Sí;1824/12;2012;Vigente;Ordenanza municipal;Regula transporte;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;NA
Las Flores;Buenos Aires;Sí;2402/10;2010;Vigente;Ordenanza municipal;Integral;500;No;NA;2000;NA;250;NA;20;NA;No;Sí;Sí;No;No;Sí;No;Sí;No;No;No;No;NA
Leandro N. Alem;Buenos Aires;Sí;1166/06;2006;Vigente;Ordenanza municipal;Regula distancias;500;No;1000;1500;NA;NA;NA;NA;NA;No;No;Sí;No;No;No;Sí;No;No;No;No;No;NA
Lezama;Buenos Aires;No;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Dec. 499/91.
Lincoln;Buenos Aires;Sí;2535/19;2019;Vigente;Ordenanza municipal;Integral;500;No;500;NA;NA;300;NA;NA;NA;No;Sí;Sí;No;No;Sí;No;No;Sí;No;No;No;NA
Lobería;Buenos Aires;No;NA;NA;NA;Sin regulación específica;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Dec. 499/91.  reclamos locales sin normativa sancionada.
Lobos;Buenos Aires;No;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;50;2000;50;NA;Sí;No;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;Sí;Proyecto de ordenanza presentado por Sociedad Rural en 2021, sin constancia de sanción.
Lomas de Zamora;Buenos Aires;Sí;12923;NA;Vigente;Ordenanza municipal;Prohibición puntual;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Prohibición total de glifosato, derivados y coadyuvantes en todo el territorio municipal
Luján;Buenos Aires;Sí;5953/2011;2011;Vigente;Ordenanza municipal;Integral;500;No;NA;NA;NA;100;NA;100;NA;No;No;Sí;Sí;No;No;Sí;Sí;No;No;No;No;NA
Magdalena;Buenos Aires;No;NA;NA;NA;NA;Proyecto en debate;100;No;NA;200;NA;100;200;NA;NA;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No;Sí;Proyecto de ordenanza ingresado en 2025 tras episodio en Arditi. No hay ordenanza vigente al momento del relevamiento.
Maipú;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;Sin regulación específica;NA;No;NA;NA;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Rige Ley Provincial 10.699 y Decreto 499/91.
Malvinas Argentinas;Buenos Aires;Sí;459/2005-640/2009;2009;Vigente;Ordenanza municipal;Integral;150;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;No;No;No;NA
Mar Chiquita;Buenos Aires;Sí;19/20;2020;Vigente;Ordenanza municipal;Integral;150;No;500;2000;NA;200;300;25;NA;No;Sí;Sí;Sí;No;No;No;Sí;Sí;No;No;No;NA
Marcos Paz;Buenos Aires;Sí;44/2012;2012;Vigente;Ordenanza municipal;Regula distancias;NA;No;NA;NA;NA;1000;NA;NA;NA;No;Sí;No;No;No;No;Sí;No;No;No;No;No;NA
Mercedes;Buenos Aires;Sí;6998/2011-7217/2013;2011;Vigente;Ordenanza municipal;Integral;500;No;NA;2000;NA;100;NA;100;NA;No;No;Sí;No;No;No;No;Sí;No;No;No;No;NA
Merlo;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Monte Hermoso;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Adhesión provincial
Moreno;Buenos Aires;Sí;6422/20;2020;Vigente;Ordenanza municipal;Prohibición puntual;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;NA
Morón;Buenos Aires;Sí;11990/09;2009;Vigente;Ordenanza municipal;Prohibición puntual;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;NA
Navarro;Buenos Aires;Sí;1281/12;2012;Vigente;Ordenanza municipal;Integral;300;No;NA;5000;NA;100;NA;50;NA;No;Sí;Sí;No;No;No;Sí;No;No;No;No;No;NA
Necochea;Buenos Aires;No;NA;NA;Vigente;Ley provincial 10.699;NA;NA;No;NA;2000;NA;NA;NA;NA;NA;Sí;No;No;No;No;No;No;No;No;No;No;No;Depósito sin distancias (Ord. 7069/10)
